year,base,gbm,atypicality,handicap
2007,1.05,1.306,2.894,24.389
2008,0.534,0.536,1.886,0.392
2009,0.547,0.521,1.824,-4.614
2010,0.508,0.456,1.9,-10.185
2011,0.448,0.478,1.359,6.807
2012,0.589,0.744,4.086,26.315
2013,0.366,0.48,1.23,31.264
2014,0.39,0.474,1.355,21.426
2015,0.529,0.589,2.213,11.378
2016,0.445,0.471,0.505,5.716
2017,0.474,0.491,0.883,3.656
2018,0.465,0.67,1.653,44.335
2019,0.453,0.618,0.588,36.553
2020,0.946,0.857,1.062,-9.356
2021,0.472,0.676,3.126,43.322
2022,0.604,0.55,0.543,-8.917
2023,0.459,0.502,0.679,9.348
2024,0.5,0.552,2.393,10.352
2025,0.555,0.596,1.089,7.294
