config,fold,max_depth,min_samples_leaf,rmse
naive,0,6,5,0.5084852536305816
naive,1,6,20,0.5084852536305816
naive,2,6,20,0.5084852536305816
naive,3,6,5,0.5084852536305816
naive,4,6,50,0.5084852536305816
mismatched,0,6,20,0.6330841005665722
mismatched,1,6,5,0.6330841005665722
mismatched,2,6,5,0.6330841005665722
mismatched,3,6,5,0.6330841005665722
mismatched,4,4,20,0.6330841005665722
mismatched,5,6,5,0.6330841005665722
mismatched,6,6,5,0.6330841005665722
mismatched,7,6,5,0.6330841005665722
mismatched,8,6,20,0.6330841005665722
mismatched,9,6,5,0.6330841005665722
mismatched,10,6,5,0.6330841005665722
mismatched,11,6,20,0.6330841005665722
mismatched,12,6,5,0.6330841005665722
mismatched,13,6,5,0.6330841005665722
mismatched,14,6,5,0.6330841005665722
mismatched,15,6,5,0.6330841005665722
mismatched,16,6,5,0.6330841005665722
mismatched,17,6,5,0.6330841005665722
mismatched,18,6,20,0.6330841005665722
consistent,0,3,50,0.6319644250813738
consistent,1,4,5,0.6319644250813738
consistent,2,4,5,0.6319644250813738
consistent,3,6,50,0.6319644250813738
consistent,4,6,50,0.6319644250813738
consistent,5,6,5,0.6319644250813738
consistent,6,3,50,0.6319644250813738
consistent,7,6,5,0.6319644250813738
consistent,8,4,5,0.6319644250813738
consistent,9,4,5,0.6319644250813738
consistent,10,4,5,0.6319644250813738
consistent,11,3,50,0.6319644250813738
consistent,12,3,20,0.6319644250813738
consistent,13,4,20,0.6319644250813738
consistent,14,4,5,0.6319644250813738
consistent,15,3,20,0.6319644250813738
consistent,16,6,5,0.6319644250813738
consistent,17,6,50,0.6319644250813738
consistent,18,6,20,0.6319644250813738
