crop,year,model,n_train_years,rmse
cartofi,2014,raion mean + trend,7,0.7386
cartofi,2014,baseline FE,7,0.8108
cartofi,2014,gradient boosting,7,1.2822
cartofi,2015,raion mean + trend,8,0.8967
cartofi,2015,baseline FE,8,0.6348
cartofi,2015,gradient boosting,8,0.8632
cartofi,2016,raion mean + trend,9,0.7164
cartofi,2016,baseline FE,9,0.7286
cartofi,2016,gradient boosting,9,0.7729
cartofi,2017,raion mean + trend,10,0.6778
cartofi,2017,baseline FE,10,0.7318
cartofi,2017,gradient boosting,10,0.8564
cartofi,2018,raion mean + trend,11,0.8343
cartofi,2018,baseline FE,11,0.8375
cartofi,2018,gradient boosting,11,1.0931
cartofi,2019,raion mean + trend,12,0.7878
cartofi,2019,baseline FE,12,0.7817
cartofi,2019,gradient boosting,12,0.8301
cartofi,2020,raion mean + trend,13,0.8091
cartofi,2020,baseline FE,13,0.7862
cartofi,2020,gradient boosting,13,0.9693
cartofi,2021,raion mean + trend,14,0.858
cartofi,2021,baseline FE,14,0.9562
cartofi,2021,gradient boosting,14,0.907
cartofi,2022,raion mean + trend,15,0.8147
cartofi,2022,baseline FE,15,0.7368
cartofi,2022,gradient boosting,15,0.7412
cartofi,2023,raion mean + trend,16,0.9494
cartofi,2023,baseline FE,16,0.8854
cartofi,2023,gradient boosting,16,0.8051
cartofi,2024,raion mean + trend,17,0.9139
cartofi,2024,baseline FE,17,0.6579
cartofi,2024,gradient boosting,17,0.6946
cartofi,2025,raion mean + trend,18,0.9184
cartofi,2025,baseline FE,18,0.8376
cartofi,2025,gradient boosting,18,0.962
floarea_soarelui,2014,raion mean + trend,7,0.1689
floarea_soarelui,2014,baseline FE,7,0.2664
floarea_soarelui,2014,gradient boosting,7,0.229
floarea_soarelui,2015,raion mean + trend,8,0.3583
floarea_soarelui,2015,baseline FE,8,0.3577
floarea_soarelui,2015,gradient boosting,8,0.3623
floarea_soarelui,2016,raion mean + trend,9,0.236
floarea_soarelui,2016,baseline FE,9,0.2268
floarea_soarelui,2016,gradient boosting,9,0.2814
floarea_soarelui,2017,raion mean + trend,10,0.1826
floarea_soarelui,2017,baseline FE,10,0.113
floarea_soarelui,2017,gradient boosting,10,0.3423
floarea_soarelui,2018,raion mean + trend,11,0.0985
floarea_soarelui,2018,baseline FE,11,0.1241
floarea_soarelui,2018,gradient boosting,11,0.2497
floarea_soarelui,2019,raion mean + trend,12,0.1288
floarea_soarelui,2019,baseline FE,12,0.1632
floarea_soarelui,2019,gradient boosting,12,0.733
floarea_soarelui,2020,raion mean + trend,13,0.7564
floarea_soarelui,2020,baseline FE,13,0.7594
floarea_soarelui,2020,gradient boosting,13,0.4975
floarea_soarelui,2021,raion mean + trend,14,0.2148
floarea_soarelui,2021,baseline FE,14,0.1221
floarea_soarelui,2021,gradient boosting,14,0.3828
floarea_soarelui,2022,raion mean + trend,15,0.4989
floarea_soarelui,2022,baseline FE,15,0.4134
floarea_soarelui,2022,gradient boosting,15,0.2826
floarea_soarelui,2023,raion mean + trend,16,0.2303
floarea_soarelui,2023,baseline FE,16,0.1822
floarea_soarelui,2023,gradient boosting,16,0.1997
floarea_soarelui,2024,raion mean + trend,17,0.4658
floarea_soarelui,2024,baseline FE,17,0.2094
floarea_soarelui,2024,gradient boosting,17,0.2679
floarea_soarelui,2025,raion mean + trend,18,0.2645
floarea_soarelui,2025,baseline FE,18,0.2497
floarea_soarelui,2025,gradient boosting,18,0.2581
griu,2014,raion mean + trend,7,0.3027
griu,2014,baseline FE,7,0.1869
griu,2014,gradient boosting,7,0.2384
griu,2015,raion mean + trend,8,0.1453
griu,2015,baseline FE,8,0.352
griu,2015,gradient boosting,8,0.3226
griu,2016,raion mean + trend,9,0.2793
griu,2016,baseline FE,9,0.2146
griu,2016,gradient boosting,9,0.343
griu,2017,raion mean + trend,10,0.1594
griu,2017,baseline FE,10,0.1252
griu,2017,gradient boosting,10,0.3429
griu,2018,raion mean + trend,11,0.2332
griu,2018,baseline FE,11,0.1692
griu,2018,gradient boosting,11,0.222
griu,2019,raion mean + trend,12,0.1772
griu,2019,baseline FE,12,0.2007
griu,2019,gradient boosting,12,0.3644
griu,2020,raion mean + trend,13,1.0552
griu,2020,baseline FE,13,1.1465
griu,2020,gradient boosting,13,0.888
griu,2021,raion mean + trend,14,0.4591
griu,2021,baseline FE,14,0.2674
griu,2021,gradient boosting,14,0.5961
griu,2022,raion mean + trend,15,0.3019
griu,2022,baseline FE,15,0.2015
griu,2022,gradient boosting,15,0.16
griu,2023,raion mean + trend,16,0.2754
griu,2023,baseline FE,16,0.4084
griu,2023,gradient boosting,16,0.2761
griu,2024,raion mean + trend,17,0.2356
griu,2024,baseline FE,17,0.3307
griu,2024,gradient boosting,17,0.3175
griu,2025,raion mean + trend,18,0.2302
griu,2025,baseline FE,18,0.2904
griu,2025,gradient boosting,18,0.3237
