crop,year,actual,baseline,boosting
cartofi,2007,2.9434741932462782,3.7850963616681748,4.3484370066156455
cartofi,2008,4.059999292993572,4.110456763183725,3.5909766355977597
cartofi,2009,3.8934268183882446,3.8175986535305566,3.6909771832288185
cartofi,2010,4.259414577038267,3.966869770277895,4.188878907299869
cartofi,2011,4.198046187510485,4.242490921852876,4.163234546810838
cartofi,2012,3.8215130161900253,3.382475065675834,3.5688588327307063
cartofi,2013,4.4267184509429045,4.552482039386583,4.465032121455872
cartofi,2014,4.595285623491732,4.374908170571692,4.42998393119055
cartofi,2015,4.097613021803398,3.8636697295006726,4.857661134649091
cartofi,2016,4.583673626819558,4.501061940927121,4.392837031273491
cartofi,2017,4.494657477367105,4.443601400005626,4.552685042193065
cartofi,2018,4.577112638407368,4.652503896857217,4.516505718782693
cartofi,2019,4.576523170262011,4.674306633126959,4.598793954178763
cartofi,2020,4.84367338313675,4.6396521750463995,4.572832896323253
cartofi,2021,4.873237819298873,4.973917923063273,4.63253828242379
cartofi,2022,4.660673353964868,4.7665652068156605,4.669971727119303
cartofi,2023,4.740210342315552,4.773554992504871,4.773069748413269
cartofi,2024,4.495473002328978,4.5226742324516405,4.701906640468478
cartofi,2025,4.514215516110755,4.84214569916335,4.937996221843526
floarea_soarelui,2007,1.7831983002094371,2.2243147906351277,2.5204424103081955
floarea_soarelui,2008,2.6990643469359354,2.681033423589774,2.650456115365464
floarea_soarelui,2009,2.4253921173899626,2.463700308313792,2.626765122502242
floarea_soarelui,2010,2.677507646017339,2.5821071744943986,2.7254882179832114
floarea_soarelui,2011,2.6772218199179734,2.761428542750677,2.7506337498858384
floarea_soarelui,2012,2.207615934479347,2.117499167169761,2.3497371619445495
floarea_soarelui,2013,2.951022583098444,2.8989580640060786,2.7796714590998133
floarea_soarelui,2014,2.810375694672748,2.850532675129263,2.780109437252955
floarea_soarelui,2015,2.669875134801949,2.303006549772212,2.8098599027005067
floarea_soarelui,2016,2.953735366179925,2.8411093021082463,2.9626598401791906
floarea_soarelui,2017,3.035790780601888,2.756166958185088,2.989092607342917
floarea_soarelui,2018,3.0658677746347713,2.8780929316515955,2.6686910427885637
floarea_soarelui,2019,3.096254499138459,2.9258644785654555,2.7696835005366984
floarea_soarelui,2020,2.4964047709293027,3.0077012239889322,2.795646822494184
floarea_soarelui,2021,3.2241297506574633,3.144201620480191,2.8978812936496188
floarea_soarelui,2022,2.6995304965363798,3.063307423915672,2.8987703479925706
floarea_soarelui,2023,2.9893013290987227,2.9484894542140525,2.850453659976276
floarea_soarelui,2024,2.728989004556493,2.7888910337164114,2.8240191120766616
floarea_soarelui,2025,3.0365893990702113,2.9307628794440186,2.8749604968362092
griu,2007,2.575540851119169,2.7655653305389296,3.0061316376133953
griu,2008,3.4486419343604138,3.1591875585962064,3.166610527405861
griu,2009,2.983334920266226,2.9917144784873817,3.2807160097470995
griu,2010,3.0679844204562357,3.2250754564731707,3.390816952397929
griu,2011,3.2060810968049274,3.2343936174757446,3.1926612715619043
griu,2012,2.6320490974656683,2.9080784879926465,3.1214533862268015
griu,2013,3.30814514379256,3.2702553805605654,3.2070860325389963
griu,2014,3.414961794614428,3.3705108122350556,3.1319176190734908
griu,2015,3.25202317263273,2.9451574301467294,3.5205828721220507
griu,2016,3.5320499387760753,3.294358524627995,3.3501357187974485
griu,2017,3.583488550742658,3.3546942878960557,3.576725780210475
griu,2018,3.374772821693091,3.2577291179723455,3.31362678841803
griu,2019,3.4602457456154236,3.4089578629411394,3.460925330404845
griu,2020,2.6124466298268794,3.596103776769928,3.4263909212684176
griu,2021,3.804148713274003,3.7858101482026743,3.4800468703215968
griu,2022,3.2572406282194035,3.54064999980413,3.4418342360631593
griu,2023,3.7136815479717225,3.504308624993577,3.51929973632891
griu,2024,3.473758925599486,3.254948376360041,3.593870809760928
griu,2025,3.745898533807093,3.500759609955317,3.4705926554068163
legume,2007,3.3242996350285274,3.9318629055778356,4.323022742192683
legume,2008,4.246893455652341,3.9557671756744517,4.183877171675788
legume,2009,4.0852233304185175,4.10005424018667,4.126735147101934
legume,2010,4.1104695229881605,4.027794555799432,4.249675275863279
legume,2011,4.309812238003583,4.306370794567603,3.932013215634515
legume,2012,4.113770013309,3.938040839395732,3.845678614375085
legume,2013,4.360821611988514,4.489975934871199,4.5974930731293995
legume,2014,4.603364122567222,4.507831725397512,4.490506039818712
legume,2015,4.559199307132494,4.379696363769836,4.795049935051448
legume,2016,4.6934598960823335,4.654505273011292,4.523475894382038
legume,2017,4.744877063336112,4.638747478881664,4.911076499997724
legume,2018,4.787737417718927,4.931170356905635,4.849841588460063
legume,2019,4.808416791695839,4.864934277863186,4.9634269777804585
legume,2020,5.062826743282077,4.925069165459763,4.7656531774956
legume,2021,4.837380229044368,5.12413958063016,4.507100715518942
legume,2022,5.0557425199782955,5.1073437676501925,5.026604425132669
legume,2023,5.224624992842022,5.043452083698752,4.968025978179156
legume,2024,5.031415294559144,4.928080715094384,5.019794746490834
legume,2025,5.077953421014662,5.374086455265978,5.050332834469596
orz,2007,2.1247126418915983,2.532955283552161,2.8282651137065695
orz,2008,3.2963847092808596,2.788256563464631,2.82345340224483
orz,2009,2.8025902819160793,2.67986957473134,3.1926976894487997
orz,2010,2.7649547740917244,2.938940561903554,3.2006536828511796
orz,2011,2.857029657622905,3.0110804295580613,3.083643550316168
orz,2012,2.480469419042881,2.629742224960567,2.778152225802549
orz,2013,3.045743311731885,3.036346705189697,2.5137289031449868
orz,2014,3.166255903049348,3.1648698987618835,2.9819500926090377
orz,2015,3.034378907482445,2.8175612319259624,3.258518238886512
orz,2016,3.416125216559714,3.108127019250332,3.090029051747042
orz,2017,3.4149569472582026,3.204382813895393,3.354430128744403
orz,2018,3.160804926673669,3.1594190149298145,2.982146863639402
orz,2019,3.3417210779717794,3.2821975717815857,3.307668101640676
orz,2020,2.6438314172113833,3.4774274507664793,3.336527206339166
orz,2021,3.623528704132163,3.751426101642934,3.230317583661808
orz,2022,3.1861894612738997,3.4669163286728195,3.4788430754275836
orz,2023,3.6620145546931853,3.440901950721762,3.5155343840356292
orz,2024,3.4615089234185334,3.1920123574282173,3.658242854704657
orz,2025,3.7257470502081884,3.5059856591197347,3.303965341214719
porumb,2007,0.9873313355196257,2.337602342090091,2.6319641494014583
porumb,2008,3.2548976230392537,3.3650811542791517,3.4392862640667574
porumb,2009,2.9211296686975015,2.6995012301315384,2.991887534616351
porumb,2010,3.3337878309196967,2.984207810060915,3.52016925596837
porumb,2011,3.3144253800219787,3.2656187602160562,3.350553007749845
porumb,2012,2.10930951397375,1.760031516528273,2.595874438301277
porumb,2013,3.6705876186378426,3.634004327780758,3.718820311232117
porumb,2014,3.583547218091646,3.5002455109803594,3.212946773600983
porumb,2015,2.9961906192204424,2.35109533283776,3.1743175333143205
porumb,2016,3.4595697157578873,3.3975783462715277,3.5390256598696994
porumb,2017,3.7324356806640027,3.156676565326747,3.4649291979707635
porumb,2018,3.984726111912483,3.4187330604114745,2.9667444908066383
porumb,2019,3.8477582080210806,3.5222445974186494,3.0921387369096687
porumb,2020,2.336630206730029,3.6878631186282176,3.4120714488624047
porumb,2021,4.30955999359472,4.077468639662315,3.4379266465692413
porumb,2022,3.0277187007746806,3.7206727454400705,3.3819009186528133
